Species,Year,Stem.Count
Aralia.hispida,1994,59
Aralia.hispida,1995,93
Aralia.hispida,1996,94
Aralia.hispida,1997,125
Aralia.hispida,1998,140
Aralia.hispida,1999,184
Aralia.hispida,2000,229
Aralia.hispida,2001,255
Aralia.hispida,2002,196
Aralia.hispida,2003,151
Aralia.hispida,2004,127
Aralia.hispida,2005,94
Aralia.hispida,2006,78
Aralia.hispida,2007,53
Aralia.hispida,2008,40
Aralia.hispida,2009,28
Aralia.hispida,2010,15
Aralia.hispida,2011,8
Aralia.hispida,2012,0
Aralia.hispida,2013,0
Aralia.hispida,2014,0
Aralia.hispida,2015,0
Aralia.hispida,2016,0
Aralia.hispida,2017,0
Aralia.hispida,2018,0
Aralia.hispida,2019,0
Aralia.hispida,2020,0
Aralia.hispida,2021,0
Aralia.hispida,2022,19
Aralia.hispida,2023,33
Cypripedium.reginae,1980,107
Cypripedium.reginae,1981,91
Cypripedium.reginae,1982,74
Cypripedium.reginae,1983,58
Cypripedium.reginae,1984,117
Cypripedium.reginae,1985,154
Cypripedium.reginae,1986,149
Cypripedium.reginae,1987,162
Cypripedium.reginae,1988,176
Cypripedium.reginae,1989,162
Cypripedium.reginae,1990,169
Cypripedium.reginae,1991,175
Cypripedium.reginae,1992,181
Cypripedium.reginae,1993,188
Cypripedium.reginae,1994,152
Cypripedium.reginae,1995,215
Cypripedium.reginae,1996,279
Cypripedium.reginae,1997,227
Cypripedium.reginae,1998,176
Cypripedium.reginae,1999,124
Cypripedium.reginae,2000,73
Cypripedium.reginae,2001,163
Cypripedium.reginae,2002,130
Cypripedium.reginae,2003,104
Cypripedium.reginae,2004,96
Cypripedium.reginae,2005,119
Cypripedium.reginae,2006,118
Cypripedium.reginae,2007,117
Cypripedium.reginae,2008,116
Cypripedium.reginae,2009,115
Cypripedium.reginae,2010,113
Cypripedium.reginae,2011,101
Cypripedium.reginae,2012,90
Cypripedium.reginae,2013,57
Cypripedium.reginae,2014,38
Cypripedium.reginae,2015,56
Cypripedium.reginae,2016,53
Cypripedium.reginae,2017,49
Cypripedium.reginae,2018,46
Cypripedium.reginae,2019,42
Cypripedium.reginae,2020,39
Cypripedium.reginae,2021,42
Cypripedium.reginae,2022,51
Cypripedium.reginae,2023,53
Cornus.canadensis,1997,1757
Cornus.canadensis,1998,1557
Cornus.canadensis,1999,1358
Cornus.canadensis,2000,1293
Cornus.canadensis,2001,1228
Cornus.canadensis,2002,1500
Cornus.canadensis,2003,1373
Cornus.canadensis,2004,1364
Cornus.canadensis,2005,1356
Cornus.canadensis,2006,1076
Cornus.canadensis,2007,1009
Cornus.canadensis,2008,942
Cornus.canadensis,2009,874
Cornus.canadensis,2010,807
Cornus.canadensis,2011,811
Cornus.canadensis,2012,802
Cornus.canadensis,2013,793
Cornus.canadensis,2014,784
Cornus.canadensis,2015,695
Cornus.canadensis,2016,606
Cornus.canadensis,2017,517
Cornus.canadensis,2018,427
Cornus.canadensis,2019,338
Cornus.canadensis,2020,249
Cornus.canadensis,2021,160
Cornus.canadensis,2022,188
Cornus.canadensis,2023,478
Spiranthes.lucida,1994,31
Spiranthes.lucida,1995,61
Spiranthes.lucida,1996,108
Spiranthes.lucida,1997,133
Spiranthes.lucida,1998,198
Spiranthes.lucida,1999,98
Spiranthes.lucida,2000,0
Spiranthes.lucida,2001,51
Spiranthes.lucida,2002,48
Spiranthes.lucida,2003,16
Spiranthes.lucida,2004,20
Spiranthes.lucida,2005,35
Spiranthes.lucida,2006,37
Spiranthes.lucida,2007,44
Spiranthes.lucida,2008,61
Spiranthes.lucida,2009,77
Spiranthes.lucida,2010,94
Spiranthes.lucida,2011,85
Spiranthes.lucida,2012,77
Spiranthes.lucida,2013,68
Spiranthes.lucida,2014,60
Spiranthes.lucida,2015,51
Spiranthes.lucida,2016,43
Spiranthes.lucida,2017,34
Spiranthes.lucida,2018,26
Spiranthes.lucida,2019,17
Spiranthes.lucida,2020,9
Spiranthes.lucida,2021,0
Spiranthes.lucida,2022,0
Spiranthes.lucida,2023,2
